iter	RMSE
422	3135.843692
423	3132.446251
424	3130.345442
425	3127.082276
426	3124.331433
427	3124.034772
428	3120.779154
429	3120.033265
430	3118.353825
431	3118.088791
432	3116.958461
433	3116.340578
434	3114.105749
435	3112.533673
436	3110.198749
437	3109.340265
438	3104.795598
439	3103.802454
440	3103.202894
441	3101.303084
442	3100.415347
443	3098.036637
444	3097.123434
445	3093.198389
446	3092.076796
447	3090.758229
448	3087.721716
449	3086.622701
450	3084.341504
451	3081.531834
452	3077.202892
453	3074.825155
454	3070.966948
455	3066.824117
456	3065.79795
457	3063.615377
458	3061.817344
459	3059.346864
460	3057.066557
461	3055.063643
462	3051.212219
463	3050.769697
464	3048.849089
465	3046.980162
466	3044.604049
467	3042.053214
468	3041.271289
469	3040.192334
470	3038.762047
471	3034.771831
472	3033.319542
473	3031.751187
474	3030.733375
475	3027.842379
476	3026.549904
477	3026.315065
478	3024.806167
479	3022.298896
480	3021.748633
481	3018.855569
482	3016.780977
483	3014.772864
484	3013.793594
485	3012.862835
486	3011.766502
487	3010.361884
488	3007.565092
489	3007.322484
490	3005.06157
491	3003.582135
492	3002.864624
493	3001.916816
494	3001.592563
495	2999.827762
496	2998.142808
497	2997.082384
498	2995.375943
499	2994.177193
500	2992.360263
501	2992.154873
502	2989.435411
503	2986.911829
504	2984.513265
505	2983.548729
506	2982.880256
507	2982.610259
508	2981.818162
509	2981.021457
510	2978.278751
511	2975.810953
512	2973.281532
513	2971.301568
514	2968.589812
515	2967.103184
516	2964.886837
517	2963.026869
518	2962.303058
519	2960.449824
520	2958.39909
521	2956.939604
522	2954.203076
523	2951.417388
524	2949.614963
525	2947.183003
526	2946.857251
527	2945.565817
528	2945.071981
529	2943.818222
530	2942.384184
531	2940.492066
532	2938.559123
533	2937.653063
534	2933.773017
535	2931.499535
536	2929.001273
537	2927.332179
538	2926.345838
539	2925.029284
540	2922.72852
541	2920.877522
542	2918.189932
543	2915.39219
544	2914.37
545	2913.117389
546	2910.179318
547	2908.656766
548	2907.703669
549	2906.434715
550	2905.647856
551	2903.254685
552	2902.043831
553	2898.271243
554	2894.58823
555	2893.749438
556	2891.363283
557	2890.499603
558	2887.967114
559	2886.70424
560	2886.104224
561	2884.626056
562	2883.721508
563	2881.898893
564	2880.586645
565	2879.801553
566	2879.235039
567	2877.527871
568	2877.237884
569	2875.34051
570	2873.913362
571	2872.393579
572	2869.988469
573	2867.756389
574	2866.607811
575	2866.097071
576	2865.270807
577	2863.584987
578	2862.24007
579	2859.591938
580	2858.744584
581	2857.675117
582	2856.249041
583	2855.644837
584	2853.01433
585	2852.380329
586	2851.491497
587	2851.308986
588	2848.003576
589	2844.500156
590	2843.124594
591	2841.915262
592	2840.768312
593	2840.259289
594	2838.134414
595	2837.325514
596	2836.499646
597	2833.256729
598	2831.638559
599	2829.594792
600	2826.322955
601	2825.513895
602	2824.636954
603	2823.917897
604	2823.150581
605	2821.27754
606	2819.7559
607	2816.662239
608	2815.313037
609	2813.357199
610	2812.928387
611	2811.707364
612	2810.744464
613	2809.20329
614	2806.123269
615	2804.065202
616	2802.553848
617	2800.795879
618	2800.105521
619	2799.195599
620	2797.468442
621	2794.614413
622	2793.788786
623	2791.044945
624	2789.108372
625	2788.381774
626	2787.932813
627	2786.806568
628	2786.128828
629	2782.305386
630	2779.698842
631	2778.150721
632	2777.458399
633	2775.792072
634	2775.09304
635	2773.842234
636	2770.773134
637	2769.554458
638	2768.396254
639	2766.540615
640	2764.094623
641	2760.538947
642	2757.875682
643	2756.385988
644	2754.541
645	2753.04105
646	2751.366454
647	2749.270846
648	2747.700014
649	2745.327363
650	2744.573286
651	2742.261176
652	2741.578786
653	2739.779813
654	2737.694111
655	2735.439397
656	2734.120822
657	2733.452738
658	2732.719641
659	2730.470456
660	2729.616436
661	2727.034027
662	2725.365726
663	2724.673212
664	2724.007569
665	2723.183978
666	2722.533203
667	2719.070871
668	2718.190054
669	2716.489311
670	2715.767771
671	2713.929241
672	2712.64772
673	2711.502903
674	2710.71004
675	2707.993726
676	2706.011354
677	2705.02045
678	2704.235539
679	2702.163383
680	2701.540714
681	2697.965619
682	2696.976232
683	2693.460156
684	2691.190394
685	2688.574315
686	2685.424701
687	2682.754758
688	2680.504027
689	2679.810088
690	2677.57509
691	2674.887624
692	2673.595712
693	2672.193985
694	2670.275518
695	2669.746167
696	2667.869351
697	2666.805039
698	2666.402491
699	2665.358515
700	2662.509448
701	2661.855539
702	2659.794627
703	2658.441713
704	2656.223913
705	2655.552727
706	2654.615145
707	2653.627689
708	2653.503833
709	2652.737213
710	2651.960892
711	2651.38373
712	2650.753983
713	2649.665357
714	2649.029016
715	2646.854768
716	2645.196491
717	2644.619654
718	2643.712755
719	2642.58193
720	2641.985271
721	2639.923047
722	2638.943101
723	2637.278883
724	2635.430792
725	2634.654171
726	2632.461854
727	2631.603877
728	2630.720971
729	2627.65057
730	2625.205363
731	2623.369955
732	2622.738894
733	2621.368382
734	2619.878436
735	2619.05679
736	2616.763519
737	2615.698496
738	2615.109431
739	2614.544828
740	2611.786174
741	2610.396026
742	2609.396077
743	2607.243111
744	2606.572417
745	2604.465089
746	2602.403679
747	2600.181964
748	2597.962818
749	2596.949008
750	2594.897723
751	2593.899634
752	2590.843436
753	2590.091803
754	2588.880603
755	2587.304456
756	2586.759809
757	2585.422942
758	2582.395715
759	2581.114894
760	2579.931906
761	2579.39788
762	2577.537113
763	2576.009042
764	2575.210705
765	2574.692199
766	2572.656666
767	2570.846228
768	2569.874346
769	2568.381504
770	2567.900553
771	2564.594273
772	2564.01875
773	2561.764317
774	2560.775546
775	2560.279809
776	2558.451263
777	2557.911443
778	2557.457141
779	2555.364633
780	2554.104164
781	2552.748815
782	2551.67646
783	2550.36734
784	2548.557117
785	2546.592601
786	2545.760991
787	2545.136511
788	2543.068142
789	2541.020666
790	2540.065934
791	2538.83148
792	2535.732275
793	2534.750478
794	2534.26666
795	2531.653521
796	2530.743513
797	2528.47093
798	2527.467828
799	2526.565461
800	2525.406859
801	2523.463538
802	2522.847283
803	2522.108171
804	2520.623158
805	2518.937221
806	2518.521709
807	2517.295819
808	2516.900997
809	2514.402803
810	2513.683068
811	2512.918465
812	2512.068288
813	2511.494703
814	2509.584115
815	2506.622341
816	2504.752198
817	2502.92221
818	2502.438333
819	2501.976634
820	2500.295263
821	2498.501755
822	2497.646655
823	2494.559047
824	2492.85878
825	2492.173508
826	2490.734779
827	2488.971167
828	2486.267713
829	2485.803542
830	2483.785574
831	2482.134007
832	2481.333787
833	2479.270638
834	2477.837802
835	2475.456945
836	2472.549411
837	2472.103725
838	2471.664271
839	2470.885825
840	2468.106702
841	2465.727502
842	2464.565773
843	2464.178712
844	2462.210314
845	2461.253635
846	2460.237133
847	2459.319483
848	2457.662497
849	2457.249568
850	2456.837718
851	2456.508291
852	2454.749567
853	2452.648705
854	2450.50011
855	2450.338811
856	2449.439546
857	2447.697646
858	2446.337128
859	2443.80014
860	2443.211341
861	2442.36114
862	2441.960599
863	2441.535243
864	2440.209048
865	2439.608367
866	2438.259927
867	2436.845211
868	2436.459563
869	2436.045361
870	2435.334522
871	2434.204074
872	2432.213556
873	2431.628448
874	2430.637675
875	2427.492715
876	2426.786776
877	2424.891868
878	2424.310488
879	2423.510589
880	2421.548987
881	2420.688301
882	2420.194379
883	2419.735423
884	2418.01103
885	2415.923571
886	2415.29715
887	2414.945241
888	2414.644853
889	2414.092498
890	2413.377882
891	2412.779091
892	2409.861669
893	2406.733662
894	2404.90999
895	2403.055383
896	2402.668885
897	2402.046377
898	2400.978381
899	2399.278351
900	2398.506272
901	2397.081162
902	2395.372684
903	2394.796947
904	2393.612689
905	2391.968495
906	2390.753646
907	2389.34359
908	2388.715002
909	2387.468981
910	2385.097884
911	2383.489733
912	2382.714124
913	2382.180956
914	2381.514924
915	2379.979559
916	2378.027747
917	2377.065065
918	2375.429722
919	2374.076819
920	2373.015981
921	2371.780874
922	2371.632485
923	2371.355549
924	2369.988178
925	2368.331494
926	2367.066801
927	2365.197236
928	2363.714625
929	2362.660259
930	2360.858654
931	2360.44725
932	2358.953619
933	2356.951967
934	2355.647767
935	2355.030928
936	2353.444575
937	2351.744389
938	2350.502784
939	2350.012109
940	2347.734616
941	2346.35247
942	2345.258105
943	2344.187674
944	2343.671385
945	2343.118433
946	2342.761608
947	2340.487908
948	2338.788196
949	2337.170513
950	2336.612864
951	2334.789026
952	2334.26688
953	2333.746864
954	2330.831579
955	2329.267275
956	2326.664251
957	2324.792742
958	2323.342531
959	2322.031135
960	2320.616462
961	2319.087769
962	2317.417831
963	2317.265094
964	2316.223357
965	2315.034598
966	2312.348047
967	2309.265741
968	2307.831128
969	2307.214386
970	2305.078065
971	2303.925425
972	2303.344398
973	2301.88544
974	2299.936212
975	2298.538237
976	2297.025938
977	2296.499292
978	2296.119001
979	2293.826356
980	2291.576304
981	2290.791626
982	2289.782045
983	2287.56768
984	2286.090923
985	2284.596591
986	2282.029257
987	2281.061526
988	2280.336641
989	2277.674694
990	2276.663065
991	2276.176035
992	2274.5255
993	2272.636658
994	2272.312619
995	2271.828839
996	2271.271229
997	2268.716575
998	2267.148278
999	2265.652638
